,text,notes,date
/news/world-us-canada-53067030,How our brains are processing the pandemic,,20200617-0500
/sport/football/53071043,Bayern win title behind closed doors,,20200617-0500
/sport/football/53009593,The Premier League returns - all you need to know,,20200617-0500
/sport/football/53071050,Teenager Fati scores in Barcelona win,,20200617-0500
/news/business-53060436,1 US-China trade war takes toll on competitiveness,,20200617-0500
/news/world-us-canada-53072946,2 Power firm admits deadliest US corporate crime,,20200617-0500
/news/business-53068192,3 US retail sales in record monthly rebound,,20200617-0500
/news/technology-53066518,4 Apple faces two EU anti-competition probes,,20200617-0500
/sport/football/53068494,5 WTO ruling could affect Newcastle deal,,20200617-0500
/news/uk-53063831,Who is Kim Yo-jong?,,20200617-0500
/news/uk-53044334,'We stopped somebody from being killed',,20200617-0500
/news/world-europe-53054161,"War, algae, virus: The beach that won't be beaten",,20200617-0500
/news/world-australia-53046883,Two towers become one in Australian architectural first,,20200617-0500
/news/world-us-canada-53058649,Eyewitnesses recount George Floyd's harrowing death,,20200617-0500
/news/world-us-canada-40362067,Ready for the total solar eclipse?,,20200617-0500
/news/world-middle-east-40369547,Great Mosque of al-Nuri destroyed,,20200617-0500
/news/world-middle-east-40366136,Video 'shows Mosul mosque's destruction',,20200617-0500
/news/uk-england-40058866,The rise of the female fitness model,,20200617-0500
/news/world-us-canada-40360953,Car burglar caught with his pants down,,20200617-0500
/news/science-environment-53068718,How honeybees perform queen duets,,20200617-0500
/news/world-us-canada-53058730,'These people here are genuine Americans',,20200617-0500
/news/10462520,One-minute World News,,20200617-0500
/news/world-us-canada-53057291,'Life shouldn't be this complicated',,20200617-0500
/news/world-asia-53056082,"Solving the mystery of the 'ugly, dirty diamond'",,20200617-0500
/news/entertainment-arts-53068900,Stars urge BBC to save regional current affairs,,20200617-0500
/news/world-us-canada-53054476,US withdraws use of malaria drug for coronavirus,,20200617-0500
/news/science-environment-53062617,Europe pushes ahead with 'dune buggy' Mars rover,,20200617-0500
/news/technology-53069690,"Germany has its Covid-19 app, so where's the UK's?",,20200617-0500
/news/health-53045180,Blood clots targeted in Covid-19 treatment trial,,20200617-0500
/news/technology-53050716,Amazon v EU: Has the online giant met its match?,,20200617-0500
/news/in-pictures-53055687,The first thing I bought when the shops reopened,,20200617-0500
/news/in-pictures-52968564,Student artists portray life in lockdown,,20200617-0500
/news/in-pictures-53053236,In pictures: Shops in England reopen,,20200617-0500
/news/world-africa-53010852,"Africa's top shots: Preachers, widows and empty coffins",,20200617-0500
/news/in-pictures-52965312,A sideways glance at the signs around us,,20200617-0500
/news/health-53061281,Life-saving coronavirus drug 'major breakthrough',,20200617-0530
/news/world-us-canada-53069984,Trump signs executive order on police reform,,20200617-0530
/news/world-asia-53073338,India and China blame each other for deadly clash,,20200617-0530
/news/world-us-canada-53067030,How our brains are processing the pandemic,,20200617-0530
/sport/football/53071043,Bayern win title behind closed doors,,20200617-0530
/sport/football/53009593,The Premier League returns - all you need to know,,20200617-0530
/sport/football/53071050,Teenager Fati scores in Barcelona win,,20200617-0530
/news/business-53060436,1 US-China trade war takes toll on competitiveness,,20200617-0530
/news/business-53074995,2 Facebook to let users turn off political adverts,,20200617-0530
/news/world-us-canada-53072946,3 Power firm admits deadliest US corporate crime,,20200617-0530
/news/business-53068192,4 US retail sales in record monthly rebound,,20200617-0530
/news/technology-53066518,5 Apple faces two EU anti-competition probes,,20200617-0530
/news/uk-53063831,Who is Kim Yo-jong?,,20200617-0530
/news/uk-53044334,'We stopped somebody from being killed',,20200617-0530
/news/world-europe-53054161,"War, algae, virus: The beach that won't be beaten",,20200617-0530
/news/world-australia-53046883,Two towers become one in Australian architectural first,,20200617-0530
/news/world-us-canada-53058649,Eyewitnesses recount George Floyd's harrowing death,,20200617-0530
/news/world-us-canada-40362067,Ready for the total solar eclipse?,,20200617-0530
/news/world-middle-east-40369547,Great Mosque of al-Nuri destroyed,,20200617-0530
/news/world-middle-east-40366136,Video 'shows Mosul mosque's destruction',,20200617-0530
/news/uk-england-40058866,The rise of the female fitness model,,20200617-0530
/news/world-us-canada-40360953,Car burglar caught with his pants down,,20200617-0530
/news/science-environment-53068718,How honeybees perform queen duets,,20200617-0530
/news/world-us-canada-53058730,'These people here are genuine Americans',,20200617-0530
/news/10462520,One-minute World News,,20200617-0530
/news/world-us-canada-53057291,'Life shouldn't be this complicated',,20200617-0530
/news/world-asia-53056082,"Solving the mystery of the 'ugly, dirty diamond'",,20200617-0530
/news/entertainment-arts-53068900,Stars urge BBC to save regional current affairs,,20200617-0530
/news/world-us-canada-53054476,US withdraws use of malaria drug for coronavirus,,20200617-0530
/news/science-environment-53062617,Europe pushes ahead with 'dune buggy' Mars rover,,20200617-0530
/news/technology-53069690,"Germany has its Covid-19 app, so where's the UK's?",,20200617-0530
/news/health-53045180,Blood clots targeted in Covid-19 treatment trial,,20200617-0530
/news/technology-53050716,Amazon v EU: Has the online giant met its match?,,20200617-0530
/news/in-pictures-53055687,The first thing I bought when the shops reopened,,20200617-0530
/news/in-pictures-52968564,Student artists portray life in lockdown,,20200617-0530
/news/in-pictures-53053236,In pictures: Shops in England reopen,,20200617-0530
/news/world-africa-53010852,"Africa's top shots: Preachers, widows and empty coffins",,20200617-0530
/news/in-pictures-52965312,A sideways glance at the signs around us,,20200617-0530
/news/health-53061281,Life-saving coronavirus drug 'major breakthrough',,20200617-0600
/news/world-us-canada-53069984,Trump signs executive order on police reform,,20200617-0600
/news/world-asia-53073338,India and China blame each other for deadly clash,,20200617-0600
/news/world-us-canada-53067030,How our brains are processing the pandemic,,20200617-0600
/sport/football/53071043,Bayern win title behind closed doors,,20200617-0600
/sport/football/53009593,The Premier League returns - all you need to know,,20200617-0600
/sport/football/53071050,Teenager Fati scores in Barcelona win,,20200617-0600
/news/business-53060436,1 US-China trade war takes toll on competitiveness,,20200617-0600
/news/business-53074995,2 Facebook to let users turn off political adverts,,20200617-0600
/news/world-us-canada-53072946,3 Power firm admits deadliest US corporate crime,,20200617-0600
/news/business-53068192,4 US retail sales in record monthly rebound,,20200617-0600
/news/technology-53066518,5 Apple faces two EU anti-competition probes,,20200617-0600
/news/uk-53063831,Who is Kim Yo-jong?,,20200617-0600
/news/uk-53044334,'We stopped somebody from being killed',,20200617-0600
/news/world-europe-53054161,"War, algae, virus: The beach that won't be beaten",,20200617-0600
/news/world-australia-53046883,Two towers become one in Australian architectural first,,20200617-0600
/news/world-us-canada-53058649,Eyewitnesses recount George Floyd's harrowing death,,20200617-0600
/news/world-us-canada-40362067,Ready for the total solar eclipse?,,20200617-0600
/news/world-middle-east-40369547,Great Mosque of al-Nuri destroyed,,20200617-0600
/news/world-middle-east-40366136,Video 'shows Mosul mosque's destruction',,20200617-0600
/news/uk-england-40058866,The rise of the female fitness model,,20200617-0600
/news/world-us-canada-40360953,Car burglar caught with his pants down,,20200617-0600
/news/science-environment-53068718,How honeybees perform queen duets,,20200617-0600
/news/world-us-canada-53058730,'These people here are genuine Americans',,20200617-0600
/news/10462520,One-minute World News,,20200617-0600
/news/world-us-canada-53057291,'Life shouldn't be this complicated',,20200617-0600
/news/world-asia-53056082,"Solving the mystery of the 'ugly, dirty diamond'",,20200617-0600
/news/entertainment-arts-53068900,Stars urge BBC to save regional current affairs,,20200617-0600
/news/world-us-canada-53054476,US withdraws use of malaria drug for coronavirus,,20200617-0600
/news/science-environment-53062617,Europe pushes ahead with 'dune buggy' Mars rover,,20200617-0600
/news/technology-53069690,"Germany has its Covid-19 app, so where's the UK's?",,20200617-0600
/news/health-53045180,Blood clots targeted in Covid-19 treatment trial,,20200617-0600
/news/technology-53050716,Amazon v EU: Has the online giant met its match?,,20200617-0600
/news/in-pictures-53055687,The first thing I bought when the shops reopened,,20200617-0600
/news/in-pictures-52968564,Student artists portray life in lockdown,,20200617-0600
/news/in-pictures-53053236,In pictures: Shops in England reopen,,20200617-0600
/news/world-africa-53010852,"Africa's top shots: Preachers, widows and empty coffins",,20200617-0600
/news/in-pictures-52965312,A sideways glance at the signs around us,,20200617-0600
